Werk-ID,"Label [generiert, nicht manuell berarbeiten]",Titel,Person,Jahr,Ort,Verlag,Kategorie,Bemerkungen
work_001,Teutsche Gedichte,Teutsche Gedichte,"Simler, Johann Wilhelm",1648,Zürich,bey Johann Jakob Bodmer,Kategorie 1,
work_002,Die Krafft der Gottseligkeit,Die Krafft der Gottseligkeit,"Hegner, Diethelm / Trigland, Jacobus",,,,Kategorie 2,
work_003,Buch von Festen,Buch von Festen,Gwalther,,,,,
work_004,Psalm-Reimen und Melodien,Psalm-Reimen und Melodien,"Lobwasser, Ambrosius",,,,,
work_005,hundert Christliche/ neüaußgegebene Festpredigen,hundert Christliche/ neüaußgegebene Festpredigen,"Weiss, Felix",,,,,
work_006,Lehr- und trostreiche Predigen vom verlohrnen Sohn,Lehr- und trostreiche Predigen vom verlohrnen Sohn,"Wirtz, Johannes",,,,,
work_007,verteütschte Rueh- oder Fridens-uebung,verteütschte Rueh- oder Fridens-uebung,"Weiss, Caspar",,,,,
work_008,Nähefelser-Fahrt-Predigen,Nähefelser-Fahrt-Predigen,"Amman, Johann Ludwig",,,,,
work_009,Kinder-lehr,Kinder-lehr,"Burkharten, Kuenraht",,,,,
work_010,neüaußgangenes Buech vom Vestungsbau,neüaußgangenes Buech vom Vestungsbau,"Ardüser, Johann",,,,,
work_011,Buech der Freunden Stammen,Buech der Freunden Stammen,,,,,,
work_012,Christen-spiegel,Christen-spiegel,"Meyer, Conrad",,,,,
work_013,Viergeticht,Viergeticht,,,,,,
work_014,Regentenspiegel,Regentenspiegel,,,,,,
work_015,Türckischer Jammerspiegel,Türckischer Jammerspiegel,,1664,,,,
work_016,Leitungs-faden,Leitungs-faden,Anhorn,,,,,
work_017,Buch von der Seelen-angſt Chriſti,Buch von der Seelen-angſt Chriſti,"Wilden, Abraham",,,,,
work_018,Verſuchungs-gabe,Verſuchungs-gabe,"Groben, Jacob",,,,,
work_019,Kriegsbüchlin,Kriegsbüchlin,,,,,,
work_020,Buch der Psalmen,Buch der Psalmen,,,,,,
work_021,,,,,,,,
work_022,,,,,,,,
work_023,,,,,,,,
work_024,,,,,,,,
work_025,,,,,,,,
work_026,,,,,,,,
work_027,,,,,,,,
work_028,,,,,,,,
work_029,,,,,,,,
